Country of Residence,Number Of Visitors,Longitude,Latitude
New Zealand,121320,172.787,-39.759
China,103840,106.337289,32.498178
United States of America,42030,-97.482602,39.538479
Japan,33240,138.44217,36.142538
United Kingdom,32840,-58.738602,-51.608913
South Korea,31090,128.129504,36.384924
Malaysia,27300,113.83708,2.528667
India,26860,79.358105,22.686852
Indonesia,20620,101.892949,-0.954404
