Year,States,Total Visitors,Longitude,Latitude
2008,New South Wales,241970,145.612793,-31.840233
2008,Victoria,124840,144.9646,-37.0201
2008,Queensland,141350,142.702789,-20.917574
2008,South Australia,18170,136.209152,-30.000233
2008,Western Australia,68970,117.793221,-25.042261
2008,Tasmania,5840,146.315918,-41.640079
2008,Northern Territory,5150,132.550964,-19.491411
2008,Australian Capital Territory,5520,149.012375,-35.473469
2009,New South Wales,259890,145.612793,-31.840233
2009,Victoria,139620,144.9646,-37.0201
2009,Queensland,142670,142.702789,-20.917574
2009,South Australia,20110,136.209152,-30.000233
2009,Western Australia,70670,117.793221,-25.042261
2009,Tasmania,5630,146.315918,-41.640079
2009,Northern Territory,4970,132.550964,-19.491411
2009,Australian Capital Territory,5800,149.012375,-35.473469
2010,New South Wales,265450,145.612793,-31.840233
2010,Victoria,152220,144.9646,-37.0201
2010,Queensland,147690,142.702789,-20.917574
2010,South Australia,20140,136.209152,-30.000233
2010,Western Australia,76360,117.793221,-25.042261
2010,Tasmania,6100,146.315918,-41.640079
2010,Northern Territory,4650,132.550964,-19.491411
2010,Australian Capital Territory,5750,149.012375,-35.473469
2011,New South Wales,261820,145.612793,-31.840233
2011,Victoria,155980,144.9646,-37.0201
2011,Queensland,145190,142.702789,-20.917574
2011,South Australia,20540,136.209152,-30.000233
2011,Western Australia,72770,117.793221,-25.042261
2011,Tasmania,7380,146.315918,-41.640079
2011,Northern Territory,3840,132.550964,-19.491411
2011,Australian Capital Territory,7260,149.012375,-35.473469
2012,New South Wales,273250,145.612793,-31.840233
2012,Victoria,169900,144.9646,-37.0201
2012,Queensland,153780,142.702789,-20.917574
2012,South Australia,25640,136.209152,-30.000233
2012,Western Australia,78660,117.793221,-25.042261
2012,Tasmania,6910,146.315918,-41.640079
2012,Northern Territory,5250,132.550964,-19.491411
2012,Australian Capital Territory,7920,149.012375,-35.473469
2013,New South Wales,308030,145.612793,-31.840233
2013,Victoria,189170,144.9646,-37.0201
2013,Queensland,155140,142.702789,-20.917574
2013,South Australia,27700,136.209152,-30.000233
2013,Western Australia,89800,117.793221,-25.042261
2013,Tasmania,7460,146.315918,-41.640079
2013,Northern Territory,4760,132.550964,-19.491411
2013,Australian Capital Territory,7690,149.012375,-35.473469
2014,New South Wales,314940,145.612793,-31.840233
2014,Victoria,195610,144.9646,-37.0201
2014,Queensland,162020,142.702789,-20.917574
2014,South Australia,27970,136.209152,-30.000233
2014,Western Australia,88740,117.793221,-25.042261
2014,Tasmania,9010,146.315918,-41.640079
2014,Northern Territory,4480,132.550964,-19.491411
2014,Australian Capital Territory,9040,149.012375,-35.473469
2015,New South Wales,350330,145.612793,-31.840233
2015,Victoria,231930,144.9646,-37.0201
2015,Queensland,176140,142.702789,-20.917574
2015,South Australia,27090,136.209152,-30.000233
2015,Western Australia,94760,117.793221,-25.042261
2015,Tasmania,9240,146.315918,-41.640079
2015,Northern Territory,4060,132.550964,-19.491411
2015,Australian Capital Territory,7750,149.012375,-35.473469
2016,New South Wales,377470,145.612793,-31.840233
2016,Victoria,254120,144.9646,-37.0201
2016,Queensland,185360,142.702789,-20.917574
2016,South Australia,29220,136.209152,-30.000233
2016,Western Australia,103400,117.793221,-25.042261
2016,Tasmania,10760,146.315918,-41.640079
2016,Northern Territory,5960,132.550964,-19.491411
2016,Australian Capital Territory,9810,149.012375,-35.473469
2017,New South Wales,389480,145.612793,-31.840233
2017,Victoria,263240,144.9646,-37.0201
2017,Queensland,196800,142.702789,-20.917574
2017,South Australia,32460,136.209152,-30.000233
2017,Western Australia,103960,117.793221,-25.042261
2017,Tasmania,13740,146.315918,-41.640079
2017,Northern Territory,4790,132.550964,-19.491411
2017,Australian Capital Territory,10530,149.012375,-35.473469
2018,New South Wales,403740,145.612793,-31.840233
2018,Victoria,282610,144.9646,-37.0201
2018,Queensland,204530,142.702789,-20.917574
2018,South Australia,31490,136.209152,-30.000233
2018,Western Australia,104110,117.793221,-25.042261
2018,Tasmania,14550,146.315918,-41.640079
2018,Northern Territory,5540,132.550964,-19.491411
2018,Australian Capital Territory,11230,149.012375,-35.473469
2019,New South Wales,388710,145.612793,-31.840233
2019,Victoria,299560,144.9646,-37.0201
2019,Queensland,212050,142.702789,-20.917574
2019,South Australia,33300,136.209152,-30.000233
2019,Western Australia,111800,117.793221,-25.042261
2019,Tasmania,14900,146.315918,-41.640079
2019,Northern Territory,4480,132.550964,-19.491411
2019,Australian Capital Territory,12920,149.012375,-35.473469
2020,New South Wales,4720,145.612793,-31.840233
2020,Victoria,1620,144.9646,-37.0201
2020,Queensland,1100,142.702789,-20.917574
2020,South Australia,220,136.209152,-30.000233
2020,Western Australia,680,117.793221,-25.042261
2020,Tasmania,300,146.315918,-41.640079
2020,Northern Territory,40,132.550964,-19.491411
2020,Australian Capital Territory,140,149.012375,-35.473469
2021,New South Wales,37150,145.612793,-31.840233
2021,Victoria,26340,144.9646,-37.0201
2021,Queensland,3340,142.702789,-20.917574
2021,South Australia,1580,136.209152,-30.000233
2021,Western Australia,1810,117.793221,-25.042261
2021,Tasmania,1040,146.315918,-41.640079
2021,Northern Territory,340,132.550964,-19.491411
2021,Australian Capital Territory,1680,149.012375,-35.473469
2022,New South Wales,242050,145.612793,-31.840233
2022,Victoria,170840,144.9646,-37.0201
2022,Queensland,120560,142.702789,-20.917574
2022,South Australia,23110,136.209152,-30.000233
2022,Western Australia,70610,117.793221,-25.042261
2022,Tasmania,10150,146.315918,-41.640079
2022,Northern Territory,2570,132.550964,-19.491411
2022,Australian Capital Territory,9080,149.012375,-35.473469
2023,New South Wales,351760,145.612793,-31.840233
2023,Victoria,236680,144.9646,-37.0201
2023,Queensland,159270,142.702789,-20.917574
2023,South Australia,25240,136.209152,-30.000233
2023,Western Australia,80370,117.793221,-25.042261
2023,Tasmania,9990,146.315918,-41.640079
2023,Northern Territory,3000,132.550964,-19.491411
2023,Australian Capital Territory,10430,149.012375,-35.473469
